audio_file|text
D:\pro\koice\dataset\wavs\audio0000001.wav|اس کی پیچھے شروع لوگ سبائی ہیں اس کاروئی شروع سب دنیا و ایوان کے انتہی منشین سب ایک ممبر انکاراجی عقیدت پیش کرنے یہ محالی فوت سبجوی
D:\pro\koice\dataset\wavs\audio0000002.wav|یمن منز این باسکر راو، اون وطی دیوی، سودان شو سہل، باون چندر خندوری، کیپی دنپالنٹ، پیارے لال سنکھور شیمیلائی
D:\pro\koice\dataset\wavs\audio0000003.wav|ایمیں علاوہ کترک شیخ حماد بن خلیفہ السینیس تے خراج عقیدت پیش کرنا لوگ سبائی ہند سپیکروں برلہن ونج بارت کترک تعلقات مضبوط کرنا سمجھو
D:\pro\koice\dataset\wavs\audio0000004.wav|خمات بنی خلیفہ سن اہم رول رودون تمہوں ونزے اردہن وریان امیر سن اس عودت پر روزنہ دوران طرف تمہوں جدید کترج بنیاد
D:\pro\koice\dataset\wavs\audio0000005.wav|ایمی پتھ سبود سوال انہوں نے وقف شروع یا دوران کانگریس سماجوادی پارٹی تو دوئیمی موخلی پارٹی اور نیٹ امتحان پارچی لیگ گستوں کو معاملہ تول
D:\pro\koice\dataset\wavs\audio0000006.wav|سپیکرن مون مخالف درکین میمبرنزی تم دین آئیوانو کامکار چلاون اسمز اتھواس تتھوین آئیوانو کو ویکار برقرار مخالف درکین میمبروں کو رہ دیئے
D:\pro\koice\dataset\wavs\audio0000007.wav|جائج تتھوک شور شر جیری یمکن ایوان چکاروئی بار بار ملتوی کرن پی ریپوریائے راج سبائی ہنز کاروئی نوین میمبرن حلب تل نام نصید شروع کرن
D:\pro\koice\dataset\wavs\audio0000008.wav|ایوان اسمز فوت گمتن ممبرن خراج اقیدت پیش کرنے ایتکر مخالف درک لیڈر ملک ارجن گھرگین نیٹ امتحان و پرچن
D:\pro\koice\dataset\wavs\audio0000009.wav|سب دونوں کو معاملہ تلنیج کوشش یوتوی مخالف دیر کے ممبر و ناربا جی شروع کر صدر نشینن کر آئیوانچ کاروائی ملتوی نیشتل کون
D:\pro\koice\dataset\wavs\audio0000010.wav|نیشنل کانفرنس طرف آواز نویدیل اندر جمہو کشمیر سریاس تک درج دین باپت ایت جے جی درن دین آتھوان سپن نیشنل کانفرنس سکس ادر فاروق
D:\pro\koice\dataset\wavs\audio0000011.wav|وزیراعلا عمر عبداللہ تپارٹی ہندوئیم لیڈر تک کارکن شیمن نیشنل کانفرنسی کے ایک لیڈرن و نات موکس پر سے جمع کشمیر اس ریاستوک درجے بحال کرنے اس میں
D:\pro\koice\dataset\wavs\audio0000012.wav|سیر لاغنس پیٹسو لوک ناراض تو یہ ناراضگی دور کرنا باپت پیزے مرکزی سرکار اس جمہو کشمر اس فوری طور ریاستو درج بحال کرنے
D:\pro\koice\dataset\wavs\audio0000013.wav|سبل نیشنل کانفرنس کے صدر دفتر اس پر اکتقریب یہ اتمنس پارٹی ہیں جو عدداروں تو ورک کرو شرکت کر پت کرتے مو آخریلی یہ اتمنس دیمو جمع
D:\pro\koice\dataset\wavs\audio0000014.wav|کشمیرس ریاستوک درج باہل کا نکمتال بدر رو سی پی آئی ایم ایک لیڈر تو کل گئی محل کے ایک اسمبلی ممبر ایم وائی تیری گیمچی جمہو کشمیرس ریاستی
D:\pro\koice\dataset\wavs\audio0000015.wav|درج بہال کننگ مطالب کرموت سرینگر ایک اس پریس کانفرنس میں بولا منتیم ہو زی جمع کشمی ریاسز یوٹی بناو نوس لکن ہنزن کھرشن خلاب یہ مکین لوک ناراض چھے
D:\pro\koice\dataset\wavs\audio0000016.wav|تیموونز مرکزی سرکار اس یدوہ جمہو کشمیر اس ریاستی درج بحل کا نقواد کرمو چو تس پس یواد یود پلی تیو جلد پورو کرو
D:\pro\koice\dataset\wavs\audio0000017.wav|ان سلسل چھوگونی جیری گورچ پیشی کمرشل برے
D:\pro\koice\dataset\wavs\audio0000018.wav|دل سے ہی تو ہوتے ہیں ارادے چٹان سے دل سے ہی تو بنتے ہیں گھر خالی مکان سے اس لئے خائبر سیمنٹ کا سرہ سرہ دل سے بنا ہے
D:\pro\koice\dataset\wavs\audio0000019.wav|خیبر سیمنٹ دل سے بناو خبرن ہن سلسل پکنا ہو برو لیفٹرن گورنمنو سنہن ہز جمہو کشمیر کے مختلف زلین مند اچھن رود پینا سید پا دیگم تی سورت حالت سام
D:\pro\koice\dataset\wavs\audio0000020.wav|سینئر اپسنسی کات کرانچ تیمو ہدایت جتما جی تیمگسن اثر زد لکن فوری طور راحت واتان تا اثر زد بنیوے دی ڈھانچ بحال کرنے باپت قدم تلنے
D:\pro\koice\dataset\wavs\audio0000021.wav|لیفٹرن گورنرنچو ایک سوچل میڈیا پوسٹس منز ون موزی تیمونچو ڈوڑا تو دوئی منز زلین منز انسینی زوب زائی سب دن اس پر دوک تیمونچو انڈی آرے
D:\pro\koice\dataset\wavs\audio0000022.wav|ایس ڈی آر ایپ جمہو کشمیر پولیس تا فوج لوگاں راہ تواتاوں نے چکائی میں لگیت تیمہو ان یدیز پرونس رازوی ریاسی تا ادھم پورس من متحصر سبز من سڑکے چے بحال کا نام چاہتا ہے
D:\pro\koice\dataset\wavs\audio0000023.wav|لیفٹ گورنر مون یہ تیزے رود سویت سبویت میں تیز نقصان اس چھو انداز لگاؤ نکتے ہدایت دینا موت وزیر علا عمر عبداللہ نے چھو بارہ رود پینکن انسینی زوبزہ ایگستس پر اپسوز بوم
D:\pro\koice\dataset\wavs\audio0000024.wav|تیموچہ رازویر تپرونس سہلے بھی صورتحال کے نمارن والین ہندین آئیالن فیقہ شلش روپی امداد دنوک اعلان کرموت تیمو بندیات امدادی پیکیجز
D:\pro\koice\dataset\wavs\audio0000025.wav|مزید چورلیس سٹیٹ ڈیزاسٹر ریسپانس فنڈ تو زلش روپی وزیراعلیٰ امدہ دی فنڈ مزید دینا وزیراعلیٰ انکور امکتون ایل بی سورہ کیا حال سے پہلے
D:\pro\koice\dataset\wavs\audio0000026.wav|ہم تین حالاتاں یہی زیہن باپت بلاؤنا ہم چیک اس میٹنگ مند اب سرن سویت کت کران دیتیم وہ ہدایت زیہ متحصیر ایال دوبارہ بساونا خطر کرن تیم پراتکا اقدام
D:\pro\koice\dataset\wavs\audio0000027.wav|وزیراعلاں چھوڑا زلس منچ بال وسیتین کے ان واقع منچ مارک گمتین آیالاں سویتے ہمدردی بہمت دوڑا زلس منچ دن جائیں پش وسیت آمد
D:\pro\koice\dataset\wavs\audio0000028.wav|یمکن ترے نفر از جان سپڑی میں چھ تواریہ نفر چھ زخمی گمیں قومی ویت پڑاو از صبح اکشت یمکن اک بس امکن زدہ سمز آئے
D:\pro\koice\dataset\wavs\audio0000029.wav|آتھ حدث اسمان سبیت کلوند سنگھ تا منیش کمار ناوک زنہ فرمارت ز پرویڈ گاڑتے آئے کنیپال کے زد اسمان خوپورچہ کشتی کا ڈوڑا اسمان شیو دیلی
D:\pro\koice\dataset\wavs\audio0000030.wav|بندپورک ڈپٹر کمیشٹر ان کو راز زلکن مختلف علاقوں ہوں دورت
D:\pro\koice\dataset\wavs\audio0000031.wav|تو ہی تو اچھا نروت پرنسید پا دا گمت سورت حال جائز زلکس ٹنگوانی نارتی علاقہ سمز پی رات رات یمکین بندپور سری نگر سڑک پر ٹنگوانی قدل وسطا
D:\pro\koice\dataset\wavs\audio0000032.wav|ڈیپٹی کمیشٹرن ہی اوہر گچت صورتحال سام امی علاوہ ہستیم بہجپور اجس مہدپور گرورت دوئیمن علاقن مستحالات سام
